teamID,leagueID,year,player,goals,home_goals,away_goals,first_half_goals,second_half_goals
1,1,2013/2014,Yaya Toure,20,12,8,7,13
1,1,2013/2014,Sergio Aguero,17,10,7,11,6
1,1,2013/2014,Edin Dzeko,16,6,10,6,10
1,1,2013/2014,Alvaro Negredo,9,7,2,5,4
1,1,2013/2014,Samir Nasri,7,7,0,2,5
1,1,2013/2014,David Silva,7,3,4,4,3
1,1,2013/2014,Fernandinho,5,4,1,2,3
1,1,2013/2014,Vincent Kompany,4,2,2,2,2
1,1,2013/2014,Jesus Navas,4,3,1,2,2
1,1,2013/2014,Stevan Jovetic,3,2,1,0,3
1,1,2013/2014,Martin Demichelis,2,2,0,1,1
1,1,2013/2014,Aleksandar Kolarov,1,0,1,0,1
1,1,2013/2014,James Milner,1,0,1,0,1
1,1,2013/2014,Pablo Zabaleta,1,1,0,1,0
