LeagueID,Year,Club,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,Team_TeamID
2,2012/2013,Manchester United,38,28,5,5,86,43,43,89,0
2,2012/2013,Manchester City,38,23,9,6,66,34,32,78,0
2,2012/2013,Chelsea,38,22,9,7,75,39,36,75,0
2,2012/2013,Arsenal,38,21,10,7,72,37,35,73,0
2,2012/2013,Tottenham Hotspur,38,21,9,8,66,46,20,72,0
2,2012/2013,Everton,38,16,15,7,55,40,15,63,0
2,2012/2013,Liverpool,38,16,13,9,71,43,28,61,0
2,2012/2013,West Bromwich Albion,38,14,7,17,53,57,-4,49,0
2,2012/2013,Swansea City,38,11,13,14,47,51,-4,46,0
2,2012/2013,West Ham United,38,12,10,16,45,53,-8,46,0
2,2012/2013,Norwich City,38,10,14,14,41,58,-17,44,0
2,2012/2013,Fulham,38,11,10,17,50,60,-10,43,0
2,2012/2013,Stoke City,38,9,15,14,34,45,-11,42,0
2,2012/2013,Southampton,38,9,14,15,49,60,-11,41,0
2,2012/2013,Aston Villa,38,10,11,17,47,69,-22,41,0
2,2012/2013,Newcastle United,38,11,8,19,45,68,-23,41,0
2,2012/2013,Sunderland,38,9,12,17,41,54,-13,39,0
2,2012/2013,Wigan Athletic,38,9,9,20,47,73,-26,36,0
2,2012/2013,Reading,38,6,10,22,43,73,-30,28,0
2,2012/2013,Queens Park Rangers,38,4,13,21,30,60,-30,25,0
